Age at Issuance,Gender,Marital Status,Financial Dependents,Income (INR p.a.),Occupation,Major Life Events,Location,Policy Type,Time Since Issuance,Sum Assured (INR),Premium (INR p.a.),Payment Frequency,Payment Method,Missed Payments,Bank Balance (INR),Credit Score,Purchase Channel,Churn
44.0,Male,Married,2,361159,Employed,2,Rural,Whole Life,7+ months,1000000,19951,Half Yearly,Auto-Debit,0,86479,622,Agent Distribution,1
19.9,Female,Married,3,657147,Gig Work,2,Urban,Term Life,4-6 months,2000000,21257,Quarterly,Manual Payment,0,34132,633,Agent Distribution,0
37.7,Female,Married,3,120000,Retired,3,Rural,Whole Life,7+ months,500000,6992,Monthly,Manual Payment,0,66108,773,Embedded Apps,0
46.0,Female,Married,2,381521,Employed,0,Urban,Supplemental Health Insurance,0-3 months,2000000,35688,Monthly,Auto-Debit,0,180890,595,Direct,1
64.6,Female,Married,0,120000,Retired,1,Urban,Term Life,7+ months,1000000,6761,Monthly,Auto-Debit,0,171433,601,Direct,1
24.7,Female,Married,2,136493,Employed,2,Urban,Whole Life,4-6 months,5000000,76717,Half Yearly,Manual Payment,1,84105,675,Direct,0
61.9,Female,Unmarried,2,839378,Retired,3,Urban,Term Life,0-3 months,2000000,22265,Quarterly,Auto-Debit,0,170541,618,Agent Distribution,0
25.8,Female,Married,2,178572,Gig Work,3,Urban,Supplemental Health Insurance,7+ months,10000000,80921,Monthly,Auto-Debit,0,16017,609,Agent Distribution,0
64.8,Female,Married,2,120000,Employed,1,Rural,Supplemental Health Insurance,7+ months,500000,5520,Monthly,Auto-Debit,0,107265,688,Agent Distribution,1
52.6,Male,Unmarried,4,233618,Employed,0,Urban,Whole Life,0-3 months,1000000,6139,Monthly,Auto-Debit,3,196525,559,Agent Distribution,1
31.4,Female,Married,1,1141135,Employed,1,Rural,Whole Life,4-6 months,500000,7715,Half Yearly,Manual Payment,3,50701,599,Direct,1
34.0,Female,Married,2,120000,Employed,1,Urban,Supplemental Health Insurance,0-3 months,500000,4395,Half Yearly,Auto-Debit,0,50560,844,Direct,0
53.9,Female,Unmarried,2,128551,Employed,1,Rural,Whole Life,7+ months,1000000,9671,Monthly,Auto-Debit,0,22177,716,Agent Distribution,1
57.2,Male,Married,2,765436,Employed,2,Urban,Term Life,7+ months,2000000,13632,Quarterly,Auto-Debit,1,352186,620,Agent Distribution,0
21.2,Female,Married,2,984994,Employed,0,Rural,Whole Life,7+ months,1000000,17969,Monthly,Manual Payment,0,55485,713,Agent Distribution,1
19.4,Male,Unmarried,1,249595,Gig Work,3,Urban,Term Life,7+ months,1000000,12401,Annual,Auto-Debit,0,119710,725,Embedded Apps,0
23.2,Female,Unmarried,1,120000,Employed,1,Rural,Term Life,7+ months,5000000,67911,Annual,Auto-Debit,0,160032,759,Embedded Apps,1
59.6,Male,Unmarried,2,1163671,Employed,2,Rural,Supplemental Health Insurance,0-3 months,2000000,27082,Half Yearly,Manual Payment,3,330927,669,Direct,1
21.1,Female,Married,2,819221,Employed,0,Urban,Whole Life,7+ months,1000000,11157,Annual,Manual Payment,2,87280,758,Agent Distribution,0
46.2,Do not wish to disclose,Unmarried,1,431603,Employed,1,Urban,Term Life,7+ months,1000000,7887,Annual,Manual Payment,1,64116,516,Agent Distribution,0
35.8,Male,Married,3,151951,Employed,0,Urban,Term Life,0-3 months,1000000,16176,Annual,Manual Payment,0,113374,595,Embedded Apps,1
43.9,Trans,Married,2,259284,Employed,4,Rural,Term Life,0-3 months,500000,3452,Quarterly,Auto-Debit,3,275753,693,Embedded Apps,1
61.8,Male,Married,2,239844,Retired,3,Urban,Term Life,0-3 months,2000000,13116,Monthly,Auto-Debit,3,86151,706,Direct,1
51.3,Female,Married,3,338268,Gig Work,1,Urban,Term Life,0-3 months,1000000,15652,Monthly,Auto-Debit,4,45986,607,Direct,0
27.0,Female,Married,1,740959,Employed,1,Urban,Whole Life,7+ months,5000000,40662,Monthly,Auto-Debit,0,28778,700,Agent Distribution,0
53.8,Female,Married,0,496625,Gig Work,4,Urban,Term Life,7+ months,2000000,19203,Half Yearly,Manual Payment,0,37159,630,Agent Distribution,1
31.5,Female,Unmarried,3,126226,Employed,1,Rural,Whole Life,7+ months,2000000,24256,Monthly,Manual Payment,1,197109,657,Agent Distribution,0
48.3,Female,Unmarried,2,703306,Gig Work,0,Urban,Term Life,7+ months,1000000,11740,Monthly,Manual Payment,0,76381,761,Direct,1
66.0,Male,Unmarried,2,334098,Gig Work,2,Rural,Supplemental Health Insurance,7+ months,1000000,15628,Quarterly,Auto-Debit,0,60717,752,Agent Distribution,1
32.1,Male,Married,3,434063,Employed,4,Rural,Term Life,7+ months,2000000,28702,Monthly,Manual Payment,0,55671,600,Direct,0
25.2,Female,Unmarried,3,749063,Employed,0,Urban,Term Life,0-3 months,1000000,14665,Quarterly,Manual Payment,2,105665,595,Direct,1
31.4,Female,Married,4,123240,Employed,1,Rural,Term Life,4-6 months,1000000,15710,Annual,Auto-Debit,2,81506,647,Direct,1
40.4,Female,Unmarried,2,261691,Employed,4,Urban,Whole Life,7+ months,500000,4694,Half Yearly,Manual Payment,0,79339,677,Agent Distribution,0
57.4,Female,Married,2,184976,Gig Work,0,Urban,Whole Life,0-3 months,500000,4917,Half Yearly,Auto-Debit,3,290529,627,Agent Distribution,1
38.6,Male,Unmarried,2,120000,Employed,0,Urban,Term Life,0-3 months,2000000,23139,Quarterly,Auto-Debit,1,337868,763,Agent Distribution,0
33.8,Female,Married,1,342044,Gig Work,2,Rural,Term Life,7+ months,1000000,9611,Quarterly,Manual Payment,2,27227,707,Direct,0
62.3,Male,Unmarried,2,1556716,Retired,3,Urban,Term Life,7+ months,1000000,19774,Monthly,Manual Payment,0,128293,712,Direct,0
35.3,Female,Unmarried,1,120000,Employed,1,Urban,Whole Life,4-6 months,1000000,17210,Annual,Auto-Debit,0,53024,578,Direct,0
64.1,Male,Married,4,262341,Gig Work,4,Urban,Whole Life,7+ months,2000000,14939,Monthly,Auto-Debit,0,80934,773,Agent Distribution,1
41.5,Male,Married,2,420155,Gig Work,2,Urban,Term Life,7+ months,5000000,25419,Monthly,Manual Payment,0,126427,454,Direct,1
43.4,Male,Unmarried,2,292480,Retired,0,Rural,Term Life,4-6 months,5000000,28208,Half Yearly,Manual Payment,1,83268,746,Agent Distribution,0
42.2,Male,Married,2,247907,Retired,4,Urban,Term Life,0-3 months,1000000,8660,Monthly,Manual Payment,0,118701,754,Direct,0
62.5,Female,Unmarried,0,120000,Gig Work,1,Rural,Term Life,7+ months,500000,3357,Quarterly,Auto-Debit,5,169122,645,Direct,0
58.1,Male,Unmarried,0,315827,Employed,1,Urban,Whole Life,4-6 months,1000000,13000,Monthly,Auto-Debit,0,124949,781,Direct,1
46.0,Male,Married,2,157986,Gig Work,2,Rural,Term Life,0-3 months,2000000,35739,Monthly,Auto-Debit,0,58837,674,Direct,0
32.3,Male,Married,0,120000,Employed,1,Urban,Term Life,7+ months,2000000,32102,Monthly,Auto-Debit,0,59673,684,Agent Distribution,1
62.4,Male,Married,2,619219,Gig Work,0,Urban,Term Life,7+ months,2000000,16468,Monthly,Auto-Debit,0,31201,707,Agent Distribution,1
18.8,Male,Unmarried,3,524851,Retired,0,Urban,Supplemental Health Insurance,0-3 months,500000,5494,Half Yearly,Auto-Debit,0,49854,900,Embedded Apps,0
42.6,Male,Married,3,278218,Employed,1,Rural,Supplemental Health Insurance,4-6 months,2000000,25236,Annual,Auto-Debit,2,474328,787,Direct,1
24.4,Female,Married,2,315007,Employed,3,Urban,Term Life,0-3 months,500000,8576,Quarterly,Auto-Debit,0,52386,736,Direct,0
26.1,Female,Married,1,569220,Employed,2,Rural,Term Life,7+ months,2000000,35173,Annual,Manual Payment,1,37998,606,Agent Distribution,1
41.3,Female,Married,3,313965,Employed,4,Rural,Term Life,0-3 months,1000000,18645,Monthly,Auto-Debit,1,127509,691,Embedded Apps,0
18.8,Male,Unmarried,3,505251,Employed,1,Urban,Whole Life,7+ months,2000000,25277,Monthly,Auto-Debit,0,90373,614,Agent Distribution,1
61.7,Male,Unmarried,1,217893,Gig Work,1,Urban,Term Life,7+ months,500000,7707,Monthly,Auto-Debit,1,84417,745,Agent Distribution,0
25.5,Female,Married,3,672252,Retired,0,Urban,Whole Life,0-3 months,1000000,6677,Half Yearly,Auto-Debit,2,304746,691,Agent Distribution,1
41.2,Female,Unmarried,1,335893,Retired,0,Urban,Whole Life,7+ months,2000000,26958,Quarterly,Auto-Debit,0,153169,590,Direct,0
28.9,Male,Unmarried,3,307378,Employed,1,Rural,Supplemental Health Insurance,7+ months,1000000,8730,Half Yearly,Manual Payment,0,64602,686,Embedded Apps,0
34.0,Male,Married,5,120000,Gig Work,3,Rural,Term Life,7+ months,2000000,22951,Half Yearly,Manual Payment,3,70292,612,Agent Distribution,0
25.0,Male,Unmarried,0,328032,Gig Work,3,Rural,Supplemental Health Insurance,0-3 months,2000000,29021,Quarterly,Auto-Debit,0,66034,692,Embedded Apps,0
52.3,Male,Married,3,149886,Employed,4,Urban,Whole Life,7+ months,2000000,17709,Half Yearly,Auto-Debit,0,198747,611,Agent Distribution,1
52.9,Male,Married,2,171648,Employed,1,Urban,Term Life,7+ months,1000000,5782,Annual,Auto-Debit,5,77148,682,Agent Distribution,0
51.0,Female,Unmarried,5,151635,Employed,3,Urban,Term Life,7+ months,1000000,5153,Monthly,Manual Payment,0,23516,740,Direct,0
22.3,Female,Married,2,127215,Retired,1,Rural,Term Life,0-3 months,2000000,10664,Quarterly,Auto-Debit,0,94972,675,Agent Distribution,1
59.8,Female,Unmarried,3,1187475,Employed,0,Urban,Term Life,7+ months,1000000,5125,Half Yearly,Auto-Debit,2,28864,648,Direct,1
56.4,Female,Unmarried,0,681422,Gig Work,3,Rural,Term Life,4-6 months,2000000,13310,Half Yearly,Manual Payment,2,566586,696,Agent Distribution,1
58.8,Female,Married,1,1029163,Employed,2,Urban,Whole Life,0-3 months,1000000,8592,Monthly,Manual Payment,0,45591,735,Agent Distribution,0
45.6,Female,Unmarried,0,120000,Gig Work,0,Urban,Term Life,4-6 months,1000000,8318,Quarterly,Manual Payment,0,86725,591,Embedded Apps,0
25.0,Female,Married,5,282060,Employed,1,Urban,Supplemental Health Insurance,7+ months,1000000,19801,Quarterly,Manual Payment,2,121365,700,Agent Distribution,0
26.6,Male,Married,3,120000,Employed,1,Urban,Term Life,7+ months,500000,4795,Quarterly,Manual Payment,1,78360,785,Agent Distribution,0
25.5,Male,Unmarried,3,164886,Employed,2,Urban,Supplemental Health Insurance,7+ months,1000000,6911,Monthly,Auto-Debit,0,78274,725,Direct,1
29.0,Male,Unmarried,4,141112,Employed,1,Rural,Term Life,7+ months,2000000,26366,Annual,Auto-Debit,0,138338,684,Agent Distribution,0
51.4,Female,Married,0,639031,Gig Work,4,Rural,Whole Life,4-6 months,2000000,35738,Half Yearly,Manual Payment,0,334694,731,Direct,1
50.4,Female,Married,2,203340,Employed,0,Urban,Term Life,7+ months,1000000,15170,Quarterly,Manual Payment,2,182409,716,Agent Distribution,1
65.7,Male,Unmarried,0,566858,Gig Work,1,Urban,Term Life,4-6 months,10000000,94412,Half Yearly,Manual Payment,3,322162,740,Embedded Apps,0
40.4,Female,Unmarried,1,409578,Employed,1,Urban,Supplemental Health Insurance,4-6 months,1000000,13424,Annual,Auto-Debit,4,42732,518,Direct,0
41.1,Male,Unmarried,1,1345864,Employed,2,Rural,Term Life,7+ months,5000000,78614,Monthly,Auto-Debit,2,127247,555,Direct,0
54.9,Female,Married,2,120000,Employed,1,Urban,Whole Life,7+ months,2000000,31843,Monthly,Auto-Debit,1,111769,760,Agent Distribution,0
52.9,Male,Married,1,647881,Employed,2,Rural,Whole Life,7+ months,2000000,29996,Quarterly,Auto-Debit,0,130727,559,Embedded Apps,1
61.5,Male,Married,0,598695,Retired,3,Urban,Whole Life,7+ months,500000,9031,Half Yearly,Auto-Debit,2,296850,712,Agent Distribution,0
57.4,Female,Unmarried,1,135758,Employed,4,Urban,Whole Life,0-3 months,1000000,18051,Monthly,Manual Payment,1,82732,651,Direct,0
39.3,Male,Married,0,543069,Gig Work,3,Rural,Whole Life,0-3 months,500000,6842,Annual,Auto-Debit,0,71367,600,Embedded Apps,1
44.3,Male,Married,5,339524,Retired,3,Urban,Term Life,7+ months,2000000,22895,Quarterly,Manual Payment,0,151324,707,Embedded Apps,1
52.7,Male,Unmarried,3,228837,Employed,2,Urban,Whole Life,0-3 months,1000000,14623,Quarterly,Manual Payment,3,23799,696,Direct,0
18.8,Female,Married,4,150729,Employed,3,Urban,Supplemental Health Insurance,4-6 months,2000000,34546,Monthly,Auto-Debit,0,81676,848,Embedded Apps,1
52.8,Female,Unmarried,2,162206,Gig Work,1,Urban,Term Life,7+ months,1000000,5084,Monthly,Auto-Debit,0,88666,630,Agent Distribution,0
54.8,Male,Unmarried,1,1126773,Retired,1,Urban,Term Life,0-3 months,5000000,99399,Half Yearly,Manual Payment,1,47273,795,Agent Distribution,1
64.8,Female,Unmarried,3,268465,Retired,1,Rural,Whole Life,4-6 months,500000,3871,Annual,Manual Payment,1,229956,708,Agent Distribution,0
31.2,Female,Married,1,463930,Employed,1,Rural,Term Life,7+ months,500000,6026,Quarterly,Manual Payment,0,42201,627,Embedded Apps,0
20.4,Male,Married,1,154256,Gig Work,1,Urban,Term Life,7+ months,1000000,18080,Annual,Manual Payment,2,88548,743,Agent Distribution,0
18.0,Male,Unmarried,1,155453,Employed,4,Rural,Term Life,7+ months,1000000,8375,Annual,Manual Payment,0,124807,725,Direct,0
22.7,Male,Unmarried,0,572283,Retired,1,Urban,Whole Life,7+ months,1000000,12151,Quarterly,Auto-Debit,0,291490,682,Embedded Apps,0
43.9,Male,Unmarried,1,120000,Retired,0,Urban,Term Life,4-6 months,2000000,13977,Half Yearly,Manual Payment,0,97885,701,Direct,0
32.0,Female,Married,2,200656,Employed,2,Urban,Whole Life,7+ months,500000,5463,Quarterly,Manual Payment,1,208756,632,Agent Distribution,0
56.1,Male,Unmarried,2,274805,Employed,0,Urban,Whole Life,7+ months,1000000,7657,Quarterly,Manual Payment,4,172901,613,Agent Distribution,0
44.4,Female,Unmarried,0,290094,Employed,0,Urban,Term Life,0-3 months,5000000,52272,Monthly,Auto-Debit,2,108963,740,Direct,1
26.5,Female,Unmarried,1,236720,Employed,1,Rural,Whole Life,0-3 months,500000,5300,Half Yearly,Manual Payment,3,41290,662,Direct,0
32.1,Male,Unmarried,3,354007,Gig Work,1,Urban,Supplemental Health Insurance,7+ months,5000000,99487,Monthly,Auto-Debit,0,31330,673,Embedded Apps,1
32.8,Female,Unmarried,0,435826,Employed,1,Urban,Whole Life,7+ months,10000000,199221,Annual,Manual Payment,0,107495,702,Agent Distribution,1
43.9,Male,Unmarried,1,448761,Employed,3,Urban,Supplemental Health Insurance,7+ months,500000,3360,Annual,Auto-Debit,1,63949,701,Agent Distribution,1
59.8,Trans,Married,3,134583,Employed,2,Rural,Term Life,7+ months,1000000,15889,Monthly,Auto-Debit,0,205954,565,Agent Distribution,0
31.0,Female,Married,1,219935,Retired,1,Rural,Whole Life,7+ months,1000000,5776,Monthly,Auto-Debit,2,179276,782,Agent Distribution,0
49.6,Female,Married,0,619293,Employed,1,Urban,Term Life,7+ months,2000000,10905,Quarterly,Auto-Debit,1,85162,689,Agent Distribution,1
56.4,Female,Married,2,501948,Employed,1,Urban,Term Life,7+ months,2000000,13160,Quarterly,Auto-Debit,4,39098,663,Direct,1
49.3,Male,Married,1,120000,Employed,2,Urban,Term Life,0-3 months,2000000,38964,Monthly,Manual Payment,0,148536,714,Agent Distribution,1
21.6,Female,Married,2,343188,Retired,0,Urban,Term Life,7+ months,2000000,38225,Quarterly,Auto-Debit,0,43723,698,Embedded Apps,1
47.3,Female,Married,3,120000,Gig Work,0,Urban,Supplemental Health Insurance,4-6 months,500000,3954,Monthly,Auto-Debit,0,53810,741,Agent Distribution,0
54.3,Female,Married,0,277299,Employed,3,Urban,Term Life,7+ months,5000000,37125,Monthly,Auto-Debit,0,45092,723,Direct,0
40.9,Female,Unmarried,2,1013010,Employed,1,Urban,Whole Life,7+ months,2000000,17216,Monthly,Auto-Debit,1,88362,737,Embedded Apps,1
56.5,Female,Unmarried,2,138202,Employed,0,Urban,Whole Life,7+ months,2000000,25466,Monthly,Auto-Debit,0,251740,788,Embedded Apps,0
63.0,Male,Married,0,149637,Employed,1,Urban,Whole Life,7+ months,5000000,67727,Half Yearly,Auto-Debit,0,98318,750,Direct,0
32.9,Male,Unmarried,2,458089,Employed,4,Rural,Term Life,7+ months,2000000,16647,Annual,Auto-Debit,0,69246,667,Embedded Apps,1
60.4,Female,Married,1,120000,Retired,3,Rural,Whole Life,4-6 months,1000000,16349,Quarterly,Manual Payment,0,29129,590,Agent Distribution,0
46.8,Male,Married,2,172313,Employed,2,Urban,Term Life,4-6 months,1000000,9643,Quarterly,Auto-Debit,0,153537,813,Direct,1
53.9,Female,Married,0,407382,Gig Work,1,Urban,Term Life,7+ months,1000000,18831,Monthly,Auto-Debit,0,52874,660,Direct,0
30.3,Female,Married,2,172129,Employed,2,Urban,Supplemental Health Insurance,7+ months,500000,7425,Quarterly,Auto-Debit,0,108446,642,Agent Distribution,1
49.3,Male,Unmarried,1,227480,Gig Work,4,Urban,Term Life,7+ months,10000000,115452,Monthly,Manual Payment,0,74356,541,Embedded Apps,0
24.2,Male,Unmarried,3,451770,Gig Work,4,Rural,Term Life,0-3 months,500000,8424,Half Yearly,Auto-Debit,0,193018,707,Direct,1
39.8,Female,Married,0,360440,Employed,1,Urban,Supplemental Health Insurance,7+ months,2000000,34537,Annual,Auto-Debit,0,87047,691,Direct,1
45.1,Male,Married,2,323441,Employed,3,Rural,Term Life,7+ months,1000000,9357,Monthly,Auto-Debit,0,94170,558,Agent Distribution,1
19.1,Female,Married,2,211634,Employed,0,Rural,Whole Life,7+ months,500000,5047,Half Yearly,Auto-Debit,0,145596,716,Agent Distribution,0
59.8,Male,Married,3,347681,Employed,1,Urban,Term Life,7+ months,5000000,95196,Monthly,Auto-Debit,1,532613,640,Direct,1
62.8,Female,Married,2,246073,Employed,2,Urban,Term Life,7+ months,5000000,37355,Quarterly,Auto-Debit,1,200939,895,Direct,0
23.6,Male,Married,2,369706,Employed,1,Urban,Term Life,7+ months,1000000,5632,Monthly,Auto-Debit,2,91960,634,Agent Distribution,0
45.7,Female,Unmarried,3,189500,Retired,4,Urban,Term Life,4-6 months,1000000,11810,Quarterly,Auto-Debit,0,98968,645,Embedded Apps,1
45.7,Male,Unmarried,3,236145,Employed,0,Urban,Term Life,7+ months,500000,8509,Monthly,Auto-Debit,0,64868,610,Agent Distribution,0
61.8,Female,Married,1,134192,Gig Work,2,Urban,Whole Life,0-3 months,1000000,16575,Quarterly,Manual Payment,2,46166,782,Agent Distribution,1
61.3,Male,Unmarried,2,261841,Employed,3,Rural,Whole Life,7+ months,1000000,18792,Quarterly,Manual Payment,0,63436,650,Agent Distribution,0
37.9,Female,Married,3,152100,Gig Work,3,Urban,Supplemental Health Insurance,0-3 months,1000000,12998,Monthly,Auto-Debit,1,53224,622,Agent Distribution,0
47.3,Female,Married,5,123028,Employed,0,Urban,Term Life,0-3 months,10000000,65009,Half Yearly,Manual Payment,0,166490,736,Embedded Apps,1
28.5,Male,Married,3,321599,Gig Work,1,Urban,Whole Life,7+ months,2000000,27660,Annual,Manual Payment,0,41900,569,Embedded Apps,0
45.9,Male,Unmarried,2,311426,Employed,2,Rural,Whole Life,0-3 months,5000000,83379,Quarterly,Manual Payment,1,286808,730,Direct,1
42.0,Male,Unmarried,1,464172,Employed,0,Urban,Supplemental Health Insurance,7+ months,2000000,12799,Monthly,Auto-Debit,0,180166,822,Agent Distribution,1
56.9,Female,Unmarried,2,198434,Employed,4,Rural,Term Life,7+ months,1000000,7589,Monthly,Manual Payment,0,100348,725,Agent Distribution,0
50.1,Female,Married,3,357052,Employed,3,Urban,Whole Life,7+ months,5000000,25921,Annual,Auto-Debit,0,98740,731,Agent Distribution,1
18.4,Female,Unmarried,2,394572,Employed,0,Urban,Supplemental Health Insurance,7+ months,1000000,13904,Quarterly,Auto-Debit,0,63207,749,Agent Distribution,0
44.8,Male,Married,2,366348,Employed,0,Urban,Term Life,4-6 months,5000000,91505,Quarterly,Auto-Debit,0,122524,816,Embedded Apps,1
30.4,Male,Unmarried,3,150548,Employed,0,Urban,Supplemental Health Insurance,7+ months,1000000,15059,Monthly,Auto-Debit,1,235737,776,Embedded Apps,0
